SITE	Age (Ma)	Genus	d18O 5pt
607	0.219	CIB	3.64
659	0.22	CIB	3.73
806	0.22	CIB	3.85
849	0.22	CIB	4.08
659	0.222	CIB	4.18
607	0.2223	CIB	4.21
849	0.224	CIB	4.36
806	0.224	CIB	4.39
659	0.225	CIB	4.28
607	0.2256	CIB	4.3
806	0.228	CIB	4.27
849	0.228	CIB	4.12
607	0.2289	CIB	3.93
659	0.229	CIB	3.92
806	0.232	CIB	3.94
849	0.232	CIB	4.03
607	0.2321	CIB	3.95
659	0.235	CIB	3.97
607	0.2354	CIB	3.93
806	0.236	CIB	3.8
849	0.236	CIB	3.61
659	0.238	CIB	3.52
607	0.2387	CIB	3.58
806	0.24	CIB	3.48
849	0.24	CIB	3.54
607	0.242	CIB	3.58
607	0.2427	CIB	3.73
659	0.243	CIB	3.79
849	0.244	CIB	3.99
806	0.244	CIB	4.14
607	0.2451	CIB	4.27
607	0.2473	CIB	4.35
849	0.248	CIB	4.42
659	0.248	CIB	4.48
806	0.248	CIB	4.46
607	0.2493	CIB	4.48
607	0.2515	CIB	4.47
849	0.252	CIB	4.51
806	0.252	CIB	4.46
659	0.252	CIB	4.46
607	0.2535	CIB	4.47
659	0.255	CIB	4.45
607	0.2557	CIB	4.4
806	0.256	CIB	4.41
849	0.256	CIB	4.33
607	0.2576	CIB	4.27
806	0.259	CIB	4.31
607	0.2599	CIB	4.32
849	0.26	CIB	4.31
659	0.26	CIB	4.17
607	0.2619	CIB	4.17
607	0.2627	CIB	4.18
806	0.263	CIB	4.26
849	0.264	CIB	4.21
659	0.264	CIB	4.42
607	0.2651	CIB	4.47
659	0.266	CIB	4.46
607	0.2669	CIB	4.38
806	0.267	CIB	4.41
849	0.268	CIB	4.38
607	0.2697	CIB	4.38
659	0.27	CIB	4.44
849	0.272	CIB	4.36
659	0.272	CIB	4.29
607	0.2724	CIB	4.17
806	0.273	CIB	4.14
607	0.2752	CIB	4.11
849	0.276	CIB	4.07
659	0.276	CIB	4.01
607	0.2779	CIB	4.06
806	0.278	CIB	3.99
849	0.28	CIB	3.93
607	0.2825	CIB	3.87
659	0.283	CIB	3.94
806	0.284	CIB	3.87
849	0.284	CIB	3.92
659	0.287	CIB	3.89
607	0.2872	CIB	3.87
849	0.288	CIB	3.84
806	0.29	CIB	3.91
659	0.291	CIB	3.94
849	0.292	CIB	4
659	0.294	CIB	4.11
607	0.2941	CIB	4.16
806	0.296	CIB	4.18
849	0.296	CIB	4.24
607	0.2965	CIB	4.2
659	0.299	CIB	4.27
849	0.3	CIB	4.24
659	0.3	CIB	4.27
607	0.3018	CIB	4.17
659	0.303	CIB	4.12
849	0.304	CIB	4.01
659	0.305	CIB	3.97
607	0.3059	CIB	3.88
659	0.308	CIB	3.78
849	0.308	CIB	3.67
607	0.3105	CIB	3.64
659	0.312	CIB	3.61
849	0.312	CIB	3.57
607	0.3152	CIB	3.67
849	0.316	CIB	3.73
659	0.316	CIB	3.6
806	0.318	CIB	3.63
607	0.3199	CIB	3.72
849	0.32	CIB	3.56
659	0.32	CIB	3.56
659	0.322	CIB	3.52
849	0.324	CIB	3.4
607	0.3245	CIB	3.28
806	0.325	CIB	3.3
659	0.327	CIB	3.24
849	0.328	CIB	3.31
607	0.3292	CIB	3.38
659	0.331	CIB	3.33
849	0.332	CIB	3.36
806	0.333	CIB	3.47
607	0.3338	CIB	3.57
659	0.335	CIB	3.65
849	0.336	CIB	3.8
607	0.3387	CIB	3.94
806	0.34	CIB	4.13
849	0.34	CIB	4.28
607	0.3405	CIB	4.49
659	0.341	CIB	4.41
659	0.343	CIB	4.47
806	0.344	CIB	4.42
849	0.344	CIB	4.47
607	0.3442	CIB	4.38
659	0.346	CIB	4.57
607	0.347	CIB	4.49
849	0.348	CIB	4.48
806	0.349	CIB	4.47
659	0.349	CIB	4.48
607	0.3503	CIB	4.42
849	0.352	CIB	4.55
806	0.353	CIB	4.53
659	0.353	CIB	4.44
607	0.3536	CIB	4.39
659	0.355	CIB	4.41
806	0.356	CIB	4.39
849	0.356	CIB	4.34
659	0.356	CIB	4.42
607	0.3569	CIB	4.39
659	0.357	CIB	4.33
659	0.36	CIB	4.26
806	0.36	CIB	4.32
849	0.36	CIB	4.27
