SITE	Age (Ma)	Genus	d18O 5pt
607	2.8368	CIB	3.29
846	2.838	CIB	3.3
849	2.84	CIB	3.31
846	2.84	CIB	3.26
659	2.84	CIB	3.28
607	2.8401	CIB	3.31
846	2.841	CIB	3.29
846	2.843	CIB	3.28
607	2.8439	CIB	3.37
849	2.844	CIB	3.39
659	2.844	CIB	3.32
846	2.845	CIB	3.34
607	2.8478	CIB	3.34
659	2.848	CIB	3.36
849	2.848	CIB	3.37
846	2.848	CIB	3.44
659	2.849	CIB	3.47
846	2.85	CIB	3.48
607	2.8516	CIB	3.46
849	2.852	CIB	3.45
846	2.852	CIB	3.48
659	2.853	CIB	3.52
846	2.853	CIB	3.55
849	2.856	CIB	3.54
846	2.856	CIB	3.56
846	2.857	CIB	3.58
659	2.858	CIB	3.52
846	2.859	CIB	3.51
607	2.8593	CIB	3.46
849	2.86	CIB	3.35
607	2.8606	CIB	3.28
659	2.861	CIB	3.3
846	2.862	CIB	3.26
846	2.864	CIB	3.31
659	2.864	CIB	3.35
849	2.864	CIB	3.34
846	2.866	CIB	3.36
846	2.868	CIB	3.34
849	2.868	CIB	3.31
659	2.869	CIB	3.33
846	2.871	CIB	3.3
849	2.872	CIB	3.29
846	2.873	CIB	3.31
659	2.875	CIB	3.29
846	2.875	CIB	3.28
846	2.876	CIB	3.25
849	2.876	CIB	3.2
607	2.8761	CIB	3.17
659	2.878	CIB	3.16
846	2.878	CIB	3.12
607	2.8789	CIB	3.18
659	2.879	CIB	3.21
849	2.88	CIB	3.23
846	2.88	CIB	3.24
846	2.881	CIB	3.18
659	2.882	CIB	3.23
607	2.8827	CIB	3.23
846	2.883	CIB	3.3
849	2.884	CIB	3.37
846	2.885	CIB	3.5
846	2.887	CIB	3.55
849	2.888	CIB	3.49
659	2.888	CIB	3.51
607	2.8884	CIB	3.41
846	2.889	CIB	3.46
607	2.8904	CIB	3.4
846	2.891	CIB	3.52
846	2.892	CIB	3.51
849	2.892	CIB	3.59
659	2.892	CIB	3.48
846	2.894	CIB	3.52
607	2.8948	CIB	3.49
659	2.895	CIB	3.48
846	2.896	CIB	3.47
849	2.896	CIB	3.49
659	2.897	CIB	3.43
659	2.898	CIB	3.41
846	2.898	CIB	3.36
607	2.8981	CIB	3.37
846	2.9	CIB	3.38
849	2.9	CIB	3.43
846	2.901	CIB	3.41
659	2.902	CIB	3.43
846	2.903	CIB	3.38
849	2.904	CIB	3.39
846	2.905	CIB	3.42
607	2.9058	CIB	3.43
659	2.906	CIB	3.38
849	2.908	CIB	3.41
846	2.909	CIB	3.44
607	2.9096	CIB	3.36
659	2.911	CIB	3.31
849	2.912	CIB	3.34
659	2.913	CIB	3.23
846	2.913	CIB	3.2
607	2.9135	CIB	3.21
846	2.916	CIB	3.28
849	2.916	CIB	3.31
659	2.916	CIB	3.38
607	2.9173	CIB	3.37
659	2.92	CIB	3.39
846	2.92	CIB	3.35
849	2.92	CIB	3.34
846	2.924	CIB	3.48
849	2.924	CIB	3.5
659	2.925	CIB	3.4
846	2.926	CIB	3.45
607	2.9268	CIB	3.45
846	2.928	CIB	3.28
849	2.928	CIB	3.31
607	2.9283	CIB	3.42
846	2.929	CIB	3.48
846	2.93	CIB	3.46
659	2.93	CIB	3.57
846	2.931	CIB	3.59
659	2.931	CIB	3.6
849	2.932	CIB	3.62
846	2.933	CIB	3.5
659	2.933	CIB	3.5
607	2.9332	CIB	3.54
846	2.934	CIB	3.57
659	2.934	CIB	3.51
846	2.935	CIB	3.66
849	2.936	CIB	3.5
846	2.936	CIB	3.46
607	2.9365	CIB	3.42
846	2.938	CIB	3.35
846	2.939	CIB	3.31
846	2.94	CIB	3.48
849	2.94	CIB	3.33
659	2.94	CIB	3.29
607	2.9404	CIB	3.28
846	2.941	CIB	3.22
846	2.942	CIB	3.15
846	2.944	CIB	3.15
849	2.944	CIB	3.07
607	2.9442	CIB	3.08
659	2.945	CIB	3.02
846	2.946	CIB	2.96
846	2.948	CIB	3.03
607	2.948	CIB	3.05
849	2.948	CIB	3.02
659	2.949	CIB	3.03
846	2.951	CIB	3.05
607	2.9519	CIB	3.03
849	2.952	CIB	3.02
846	2.954	CIB	3.01
659	2.955	CIB	3.03
846	2.955	CIB	3.04
607	2.9557	CIB	3.05
849	2.956	CIB	3.12
846	2.957	CIB	3.17
846	2.957	CIB	3.17
846	2.958	CIB	3.2
659	2.959	CIB	3.26
846	2.959	CIB	3.26
846	2.959	CIB	3.26
607	2.9591	CIB	3.28
849	2.96	CIB	3.26
846	2.961	CIB	3.26
846	2.963	CIB	3.25
659	2.963	CIB	3.27
846	2.964	CIB	3.27
849	2.964	CIB	3.31
846	2.965	CIB	3.21
607	2.9652	CIB	3.19
846	2.966	CIB	3.19
659	2.967	CIB	3.23
846	2.967	CIB	3.23
607	2.9673	CIB	3.34
849	2.968	CIB	3.34
846	2.968	CIB	3.33
659	2.971	CIB	3.32
846	2.971	CIB	3.34
607	2.9716	CIB	3.3
849	2.972	CIB	3.31
846	2.973	CIB	3.26
607	2.9749	CIB	3.29
659	2.975	CIB	3.3
846	2.975	CIB	3.35
849	2.976	CIB	3.32
846	2.977	CIB	3.37
607	2.9788	CIB	3.41
846	2.98	CIB	3.35
849	2.98	CIB	3.31
659	2.981	CIB	3.29
846	2.982	CIB	3.25
607	2.9826	CIB	3.15
659	2.984	CIB	3.21
846	2.984	CIB	3.19
849	2.984	CIB	3.15
607	2.9865	CIB	3.25
846	2.987	CIB	3.25
849	2.988	CIB	3.14
846	2.989	CIB	3.13
659	2.99	CIB	3.15
607	2.9908	CIB	3.12
846	2.991	CIB	3.08
849	2.992	CIB	3.09
846	2.994	CIB	3.1
659	2.994	CIB	3.13
607	2.9942	CIB	3.11
846	2.996	CIB	3.14
849	2.996	CIB	3.13
846	2.998	CIB	3.11
607	2.998	CIB	3.18
846	3	CIB	3.26
849	3	CIB	3.31
659	3.001	CIB	3.34
846	3.003	CIB	3.4
607	3.0036	CIB	3.44
849	3.004	CIB	3.35
659	3.005	CIB	3.36
607	3.0057	CIB	3.39
846	3.006	CIB	3.4
846	3.008	CIB	3.36
849	3.008	CIB	3.4
846	3.009	CIB	3.44
607	3.01	CIB	3.43
659	3.011	CIB	3.43
846	3.012	CIB	3.4
849	3.012	CIB	3.46
607	3.0128	CIB	3.42
846	3.014	CIB	3.43
846	3.016	CIB	3.41
849	3.016	CIB	3.42
607	3.0172	CIB	3.4
659	3.018	CIB	3.4
846	3.018	CIB	3.4
846	3.02	CIB	3.38
849	3.02	CIB	3.38
607	3.021	CIB	3.33
659	3.021	CIB	3.35
846	3.023	CIB	3.23
849	3.024	CIB	3.27
607	3.0249	CIB	3.34
846	3.025	CIB	3.36
659	3.025	CIB	3.35
846	3.027	CIB	3.4
849	3.028	CIB	3.4
607	3.0287	CIB	3.35
846	3.029	CIB	3.31
659	3.03	CIB	3.28
846	3.032	CIB	3.26
849	3.032	CIB	3.24
607	3.0326	CIB	3.2
846	3.034	CIB	3.13
659	3.035	CIB	3.11
846	3.036	CIB	3.19
849	3.036	CIB	3.13
607	3.0364	CIB	3.09
846	3.038	CIB	3.21
659	3.038	CIB	3.21
659	3.039	CIB	3.13
849	3.04	CIB	3.13
846	3.041	CIB	3.15
846	3.043	CIB	3.1
659	3.043	CIB	3.11
607	3.0437	CIB	3.11
849	3.044	CIB	3.16
846	3.046	CIB	3.17
607	3.0474	CIB	3.18
846	3.048	CIB	3.21
849	3.048	CIB	3.28
659	3.048	CIB	3.26
659	3.048	CIB	3.23
846	3.051	CIB	3.25
659	3.052	CIB	3.27
849	3.052	CIB	3.28
846	3.053	CIB	3.29
659	3.054	CIB	3.25
846	3.055	CIB	3.25
607	3.0553	CIB	3.16
849	3.056	CIB	3.18
659	3.057	CIB	3.21
846	3.058	CIB	3.26
659	3.059	CIB	3.24
849	3.06	CIB	3.26
846	3.06	CIB	3.16
607	3.0613	CIB	3.11
846	3.063	CIB	3.08
659	3.063	CIB	3.03
849	3.064	CIB	3.06
846	3.065	CIB	3.06
846	3.066	CIB	3.03
659	3.067	CIB	3.04
846	3.068	CIB	2.97
849	3.068	CIB	2.92
607	3.0683	CIB	2.96
846	3.07	CIB	2.99
659	3.07	CIB	3.01
846	3.072	CIB	3.06
849	3.072	CIB	3.07
846	3.073	CIB	2.96
659	3.074	CIB	2.92
607	3.0743	CIB	2.92
846	3.075	CIB	2.94
849	3.076	CIB	2.95
846	3.077	CIB	3.03
659	3.078	CIB	3.06
846	3.079	CIB	3.05
846	3.08	CIB	3.04
849	3.08	CIB	3.02
846	3.082	CIB	3.01
607	3.0822	CIB	3.02
659	3.083	CIB	3.05
849	3.084	CIB	3.09
846	3.084	CIB	3.13
846	3.086	CIB	3.15
659	3.086	CIB	3.18
849	3.088	CIB	3.15
846	3.089	CIB	3.17
849	3.092	CIB	3.11
846	3.092	CIB	3.14
659	3.094	CIB	3.13
846	3.095	CIB	3.11
849	3.096	CIB	3.12
607	3.0961	CIB	3.18
846	3.098	CIB	3.19
659	3.1	CIB	3.17
849	3.1	CIB	3.14
846	3.101	CIB	3.09
607	3.1021	CIB	3.05
659	3.103	CIB	3.04
846	3.104	CIB	3.07
849	3.104	CIB	3.15
659	3.105	CIB	3.16
846	3.107	CIB	3.21
849	3.108	CIB	3.18
659	3.109	CIB	3.15
846	3.11	CIB	3.18
849	3.112	CIB	3.15
846	3.113	CIB	3.12
659	3.116	CIB	3.13
849	3.116	CIB	3.1
846	3.116	CIB	3.1
607	3.117	CIB	3.21
846	3.119	CIB	3.22
659	3.119	CIB	3.25
849	3.12	CIB	3.34
846	3.122	CIB	3.3
659	3.123	CIB	3.32
849	3.124	CIB	3.34
846	3.125	CIB	3.35
846	3.128	CIB	3.33
849	3.128	CIB	3.29
659	3.129	CIB	3.21
607	3.1299	CIB	3.24
846	3.131	CIB	3.28
849	3.132	CIB	3.28
659	3.132	CIB	3.37
659	3.133	CIB	3.43
659	3.134	CIB	3.44
846	3.134	CIB	3.42
659	3.136	CIB	3.45
849	3.136	CIB	3.35
846	3.136	CIB	3.36
607	3.1387	CIB	3.38
846	3.139	CIB	3.46
849	3.14	CIB	3.45
846	3.141	CIB	3.61
849	3.144	CIB	3.5
846	3.144	CIB	3.51
607	3.1448	CIB	3.5
659	3.146	CIB	3.48
846	3.146	CIB	3.43
846	3.148	CIB	3.37
849	3.148	CIB	3.35
659	3.151	CIB	3.27
846	3.151	CIB	3.17
849	3.152	CIB	3.16
607	3.1526	CIB	3.22
846	3.153	CIB	3.15
659	3.154	CIB	3.11
849	3.156	CIB	3.18
846	3.156	CIB	3.09
846	3.158	CIB	3.05
607	3.1596	CIB	3.07
849	3.16	CIB	3.05
659	3.16	CIB	3
846	3.162	CIB	3.01
849	3.164	CIB	3.08
659	3.164	CIB	3.07
846	3.165	CIB	3.06
607	3.1656	CIB	3.07
659	3.166	CIB	3.09
849	3.168	CIB	3.09
846	3.168	CIB	3.07
846	3.171	CIB	3.09
849	3.172	CIB	3.18
659	3.173	CIB	3.16
846	3.174	CIB	3.19
849	3.176	CIB	3.21
846	3.177	CIB	3.22
659	3.178	CIB	3.21
849	3.18	CIB	3.2
846	3.18	CIB	3.12
659	3.182	CIB	3.13
607	3.183	CIB	3.14
659	3.183	CIB	3.1
849	3.184	CIB	3.19
607	3.1846	CIB	3.16
846	3.186	CIB	3.16
607	3.1862	CIB	3.15
659	3.188	CIB	3.07
849	3.188	CIB	3.05
607	3.1885	CIB	3.04
846	3.189	CIB	3.04
607	3.1911	CIB	3.06
849	3.192	CIB	3.08
846	3.192	CIB	2.98
607	3.1924	CIB	3.04
607	3.194	CIB	3.03
846	3.195	CIB	3
849	3.196	CIB	3.01
659	3.196	CIB	3.05
607	3.1971	CIB	3.01
846	3.198	CIB	3.02
607	3.1987	CIB	2.98
849	3.2	CIB	3.01
607	3.2003	CIB	3.01
607	3.2018	CIB	3.04
659	3.202	CIB	3.05
846	3.203	CIB	2.99
849	3.204	CIB	2.92
607	3.2041	CIB	2.87
607	3.2048	CIB	2.82
659	3.206	CIB	2.71
607	3.2067	CIB	2.81
607	3.2079	CIB	2.91
849	3.208	CIB	2.9
846	3.209	CIB	2.86
607	3.2097	CIB	2.96
607	3.211	CIB	2.87
849	3.212	CIB	2.82
607	3.2128	CIB	2.81
659	3.213	CIB	2.92
607	3.2144	CIB	2.92
846	3.216	CIB	2.96
849	3.216	CIB	2.9
607	3.2175	CIB	2.97
607	3.2198	CIB	2.99
659	3.22	CIB	2.93
849	3.22	CIB	2.96
607	3.2225	CIB	3.07
659	3.223	CIB	3.12
849	3.224	CIB	3.15
846	3.224	CIB	3.13
846	3.226	CIB	3.17
607	3.2264	CIB	3.08
849	3.228	CIB	3.03
607	3.2299	CIB	3.01
846	3.23	CIB	3.12
849	3.232	CIB	3.02
846	3.234	CIB	3.07
607	3.2341	CIB	3.09
659	3.235	CIB	3.06
849	3.236	CIB	3.06
846	3.238	CIB	3.09
659	3.238	CIB	3.12
607	3.2382	CIB	3.11
849	3.24	CIB	3.11
846	3.241	CIB	3.09
849	3.244	CIB	3.15
846	3.244	CIB	3.17
659	3.245	CIB	3.09
846	3.245	CIB	3.08
607	3.2465	CIB	3.11
849	3.248	CIB	3.09
846	3.248	CIB	3.07
846	3.249	CIB	3.05
846	3.25	CIB	3.03
659	3.251	CIB	2.98
849	3.252	CIB	2.97
846	3.252	CIB	2.96
659	3.254	CIB	3.05
846	3.254	CIB	3.09
846	3.254	CIB	3.07
846	3.255	CIB	3.1
849	3.256	CIB	3.1
846	3.257	CIB	3.08
846	3.259	CIB	3.01
849	3.26	CIB	3.05
607	3.2609	CIB	2.96
846	3.263	CIB	2.97
607	3.2631	CIB	3
849	3.264	CIB	2.97
659	3.265	CIB	2.97
607	3.2678	CIB	3.05
849	3.268	CIB	3.09
846	3.268	CIB	3.09
659	3.268	CIB	3.16
607	3.2714	CIB	3.18
849	3.272	CIB	3.18
846	3.272	CIB	3.15
659	3.273	CIB	3.12
607	3.2756	CIB	3.13
846	3.276	CIB	3.16
849	3.276	CIB	3.15
659	3.277	CIB	3.17
846	3.28	CIB	3.28
849	3.28	CIB	3.28
607	3.2803	CIB	3.3
659	3.281	CIB	3.19
607	3.2838	CIB	3.14
659	3.284	CIB	3.09
846	3.284	CIB	3.06
849	3.284	CIB	3.05
846	3.287	CIB	3.03
849	3.288	CIB	2.95
659	3.289	CIB	2.89
659	3.289	CIB	2.9
659	3.29	CIB	2.87
846	3.29	CIB	3.02
659	3.291	CIB	3.2
659	3.291	CIB	3.32
849	3.292	CIB	3.42
659	3.292	CIB	3.46
659	3.292	CIB	3.41
607	3.2921	CIB	3.32
846	3.293	CIB	3.34
846	3.296	CIB	3.26
849	3.296	CIB	3.28
846	3.299	CIB	3.34
659	3.299	CIB	3.46
659	3.3	CIB	3.36
849	3.3	CIB	3.41
846	3.301	CIB	3.42
659	3.301	CIB	3.44
659	3.301	CIB	3.38
607	3.3024	CIB	3.4
659	3.303	CIB	3.44
846	3.304	CIB	3.49
849	3.304	CIB	3.48
846	3.305	CIB	3.5
659	3.308	CIB	3.61
849	3.308	CIB	3.62
846	3.308	CIB	3.46
659	3.309	CIB	3.46
607	3.3093	CIB	3.47
659	3.311	CIB	3.43
659	3.311	CIB	3.38
846	3.311	CIB	3.49
849	3.312	CIB	3.47
846	3.313	CIB	3.45
659	3.314	CIB	3.42
659	3.315	CIB	3.42
659	3.316	CIB	3.46
849	3.316	CIB	3.39
846	3.316	CIB	3.41
607	3.317	CIB	3.47
659	3.318	CIB	3.47
846	3.319	CIB	3.39
849	3.32	CIB	3.47
659	3.32	CIB	3.46
659	3.321	CIB	3.44
846	3.322	CIB	3.4
659	3.323	CIB	3.37
659	3.324	CIB	3.38
659	3.324	CIB	3.33
849	3.324	CIB	3.2
659	3.325	CIB	3.22
607	3.3253	CIB	3.22
659	3.327	CIB	3.19
846	3.327	CIB	3.21
849	3.328	CIB	3.31
659	3.329	CIB	3.33
846	3.329	CIB	3.33
659	3.33	CIB	3.32
846	3.331	CIB	3.3
849	3.332	CIB	3.29
846	3.333	CIB	3.31
659	3.333	CIB	3.27
846	3.335	CIB	3.3
849	3.336	CIB	3.28
846	3.337	CIB	3.38
659	3.338	CIB	3.33
846	3.339	CIB	3.31
849	3.34	CIB	3.39
659	3.341	CIB	3.37
846	3.341	CIB	3.37
659	3.343	CIB	3.36
846	3.343	CIB	3.46
849	3.344	CIB	3.35
846	3.345	CIB	3.47
659	3.347	CIB	3.36
846	3.347	CIB	3.33
849	3.348	CIB	3.35
659	3.35	CIB	3.4
846	3.35	CIB	3.35
849	3.352	CIB	3.42
659	3.352	CIB	3.49
846	3.352	CIB	3.43
846	3.354	CIB	3.47
849	3.356	CIB	3.5
846	3.356	CIB	3.46
659	3.356	CIB	3.43
846	3.358	CIB	3.44
849	3.36	CIB	3.41
846	3.36	CIB	3.36
846	3.362	CIB	3.4
849	3.364	CIB	3.43
846	3.364	CIB	3.36
659	3.365	CIB	3.34
846	3.366	CIB	3.35
846	3.368	CIB	3.25
849	3.368	CIB	3.2
846	3.37	CIB	3.25
846	3.372	CIB	3.2
849	3.372	CIB	3.17
659	3.375	CIB	3.19
846	3.375	CIB	3.19
849	3.376	CIB	3.19
846	3.378	CIB	3.21
849	3.38	CIB	3.23
846	3.381	CIB	3.23
659	3.383	CIB	3.27
846	3.384	CIB	3.25
849	3.384	CIB	3.25
659	3.385	CIB	3.28
846	3.387	CIB	3.27
849	3.388	CIB	3.27
846	3.39	CIB	3.34
849	3.392	CIB	3.34
846	3.393	CIB	3.33
846	3.396	CIB	3.22
849	3.396	CIB	3.19
659	3.398	CIB	3.12
846	3.399	CIB	3.12
849	3.4	CIB	3.06
846	3.402	CIB	3.19
849	3.404	CIB	3.16
846	3.404	CIB	3.17
846	3.406	CIB	3.11
659	3.407	CIB	3.11
846	3.408	CIB	3.04
849	3.408	CIB	3.03
846	3.41	CIB	3.02
659	3.411	CIB	3.12
849	3.412	CIB	3.18
846	3.412	CIB	3.24
846	3.414	CIB	3.16
849	3.416	CIB	3.17
659	3.417	CIB	3.15
846	3.417	CIB	3.06
846	3.419	CIB	3.05
659	3.42	CIB	3.14
849	3.42	CIB	3.13
846	3.421	CIB	3.09
846	3.423	CIB	3.13
846	3.424	CIB	3.14
849	3.424	CIB	3.08
846	3.426	CIB	3.06
659	3.427	CIB	3.09
849	3.428	CIB	3.11
846	3.428	CIB	3.14
846	3.429	CIB	3.19
846	3.431	CIB	3.19
849	3.432	CIB	3.2
659	3.433	CIB	3.22
846	3.433	CIB	3.18
846	3.434	CIB	3.25
849	3.436	CIB	3.3
846	3.436	CIB	3.32
846	3.438	CIB	3.24
846	3.439	CIB	3.23
659	3.44	CIB	3.19
849	3.44	CIB	3.18
846	3.441	CIB	3.1
846	3.443	CIB	3.15
849	3.444	CIB	3.19
846	3.444	CIB	3.17
659	3.445	CIB	3.09
846	3.446	CIB	3.08
846	3.447	CIB	3.06
849	3.448	CIB	3
846	3.449	CIB	2.94
846	3.451	CIB	2.94
849	3.452	CIB	2.93
846	3.452	CIB	2.9
659	3.453	CIB	2.87
846	3.454	CIB	2.87
849	3.456	CIB	2.88
846	3.456	CIB	2.81
846	3.457	CIB	2.89
659	3.459	CIB	2.9
846	3.459	CIB	2.94
849	3.46	CIB	2.96
846	3.461	CIB	3.05
846	3.462	CIB	3.01
849	3.464	CIB	3.06
846	3.464	CIB	3.01
959	3.465	CIB	2.99
659	3.467	CIB	3.02
846	3.467	CIB	2.97
849	3.468	CIB	2.98
846	3.47	CIB	2.96
849	3.472	CIB	2.98
659	3.473	CIB	2.99
846	3.473	CIB	3.01
959	3.474	CIB	3
846	3.476	CIB	2.98
849	3.476	CIB	2.99
659	3.478	CIB	2.97
846	3.479	CIB	2.95
849	3.48	CIB	2.96
659	3.482	CIB	3.04
846	3.482	CIB	3.01
959	3.483	CIB	3.01
849	3.484	CIB	3.03
846	3.485	CIB	2.99
849	3.488	CIB	3.01
846	3.488	CIB	3.02
659	3.49	CIB	3
846	3.491	CIB	2.95
849	3.492	CIB	2.96
959	3.493	CIB	2.91
846	3.494	CIB	2.92
659	3.495	CIB	2.87
849	3.496	CIB	2.94
846	3.497	CIB	2.95
849	3.5	CIB	2.95
659	3.5	CIB	2.94
846	3.501	CIB	3.01
959	3.502	CIB	2.99
849	3.504	CIB	2.99
846	3.506	CIB	2.99
849	3.508	CIB	3.02
846	3.51	CIB	2.98
849	3.512	CIB	3.01
846	3.514	CIB	2.99
849	3.516	CIB	3.05
846	3.517	CIB	3.04
659	3.517	CIB	3.09
846	3.52	CIB	3.07
849	3.52	CIB	3.09
846	3.522	CIB	3.04
849	3.524	CIB	3.01
846	3.525	CIB	2.98
659	3.526	CIB	2.96
846	3.527	CIB	2.94
846	3.527	CIB	2.95
846	3.527	CIB	2.95
846	3.528	CIB	2.98
846	3.528	CIB	2.99
849	3.528	CIB	2.94
846	3.53	CIB	2.97
846	3.531	CIB	2.95
849	3.532	CIB	2.92
659	3.533	CIB	2.88
846	3.534	CIB	2.93
846	3.535	CIB	2.93
659	3.535	CIB	2.95
849	3.536	CIB	2.94
846	3.537	CIB	2.96
846	3.539	CIB	2.96
846	3.54	CIB	2.95
659	3.54	CIB	2.94
849	3.54	CIB	2.96
846	3.542	CIB	2.99
846	3.544	CIB	3.01
849	3.544	CIB	3.02
659	3.545	CIB	3.04
846	3.546	CIB	3.12
849	3.548	CIB	3.16
846	3.548	CIB	3.15
846	3.549	CIB	3.16
846	3.551	CIB	3.18
659	3.551	CIB	3.14
849	3.552	CIB	3.12
659	3.552	CIB	3.07
846	3.553	CIB	3.07
846	3.554	CIB	3.03
659	3.554	CIB	3.02
846	3.556	CIB	3.04
849	3.556	CIB	3.09
659	3.556	CIB	3.09
846	3.558	CIB	3.14
846	3.56	CIB	3.12
849	3.56	CIB	3.09
846	3.562	CIB	3.11
846	3.563	CIB	3.09
849	3.564	CIB	3.06
846	3.565	CIB	3.05
659	3.566	CIB	3.07
846	3.567	CIB	3.04
659	3.567	CIB	3.07
659	3.568	CIB	3.08
849	3.568	CIB	3.08
846	3.569	CIB	3.07
846	3.57	CIB	3.08
846	3.572	CIB	3.03
849	3.572	CIB	2.97
846	3.574	CIB	2.97
846	3.576	CIB	2.98
849	3.576	CIB	3
846	3.577	CIB	3.02
659	3.578	CIB	3.05
849	3.58	CIB	3.1
846	3.58	CIB	3.08
659	3.583	CIB	3.06
849	3.584	CIB	3.1
846	3.584	CIB	3.17
846	3.587	CIB	3.11
659	3.587	CIB	3.18
849	3.588	CIB	3.19
846	3.59	CIB	3.17
849	3.592	CIB	3.16
846	3.594	CIB	3.22
659	3.596	CIB	3.16
849	3.596	CIB	3.17
846	3.597	CIB	3.15
849	3.6	CIB	3.09
846	3.601	CIB	3.06
846	3.604	CIB	3.11
659	3.604	CIB	3.05
849	3.604	CIB	3.09
659	3.608	CIB	3.14
846	3.608	CIB	3.09
849	3.608	CIB	3.07
659	3.609	CIB	3.07
659	3.61	CIB	3.01
846	3.611	CIB	3.01
659	3.612	CIB	2.95
849	3.612	CIB	2.92
846	3.615	CIB	2.97
659	3.616	CIB	2.97
849	3.616	CIB	2.97
846	3.618	CIB	3.08
659	3.618	CIB	3.06
849	3.62	CIB	3.01
659	3.621	CIB	3.04
846	3.621	CIB	3.04
659	3.623	CIB	3.06
846	3.624	CIB	3.18
849	3.624	CIB	3.29
659	3.626	CIB	3.33
659	3.627	CIB	3.38
846	3.628	CIB	3.36
849	3.628	CIB	3.35
846	3.631	CIB	3.35
659	3.631	CIB	3.4
849	3.632	CIB	3.46
846	3.634	CIB	3.54
659	3.635	CIB	3.6
849	3.636	CIB	3.52
659	3.636	CIB	3.41
846	3.637	CIB	3.3
846	3.64	CIB	3.3
659	3.64	CIB	3.14
849	3.64	CIB	3.17
846	3.643	CIB	3.29
659	3.643	CIB	3.22
849	3.644	CIB	3.17
846	3.647	CIB	3.16
849	3.648	CIB	3.15
846	3.65	CIB	3.02
849	3.652	CIB	2.98
846	3.653	CIB	2.94
659	3.654	CIB	2.94
849	3.656	CIB	2.9
846	3.658	CIB	2.98
659	3.658	CIB	3.06
849	3.66	CIB	3.03
659	3.661	CIB	3.1
846	3.663	CIB	3.15
849	3.664	CIB	3.14
659	3.667	CIB	3.22
846	3.668	CIB	3.28
849	3.668	CIB	3.35
659	3.669	CIB	3.34
849	3.672	CIB	3.44
846	3.674	CIB	3.44
659	3.674	CIB	3.49
659	3.676	CIB	3.43
849	3.676	CIB	3.45
846	3.679	CIB	3.42
659	3.68	CIB	3.35
849	3.68	CIB	3.27
659	3.682	CIB	3.28
846	3.683	CIB	3.25
849	3.684	CIB	3.16
846	3.686	CIB	3.19
659	3.687	CIB	3.17
849	3.688	CIB	3.1
846	3.69	CIB	3.07
659	3.692	CIB	3.04
849	3.692	CIB	2.95
846	3.693	CIB	2.94
659	3.695	CIB	2.92
849	3.696	CIB	2.91
846	3.697	CIB	2.86
659	3.698	CIB	2.92
846	3.7	CIB	2.91
849	3.7	CIB	2.94
846	3.704	CIB	2.93
849	3.704	CIB	3
659	3.705	CIB	3.01
846	3.708	CIB	3.02
849	3.708	CIB	2.98
659	3.708	CIB	3.01
846	3.711	CIB	3.01
849	3.712	CIB	3.01
846	3.713	CIB	3.03
846	3.716	CIB	3.15
849	3.716	CIB	3.16
659	3.716	CIB	3.2
846	3.719	CIB	3.25
659	3.719	CIB	3.24
849	3.72	CIB	3.22
846	3.722	CIB	3.2
849	3.724	CIB	3.15
846	3.725	CIB	3.04
659	3.726	CIB	3.02
846	3.727	CIB	2.95
849	3.728	CIB	2.95
846	3.729	CIB	2.92
659	3.731	CIB	2.94
849	3.732	CIB	2.86
846	3.733	CIB	2.82
659	3.736	CIB	2.77
849	3.736	CIB	2.8
846	3.737	CIB	2.89
849	3.74	CIB	2.93
659	3.74	CIB	2.97
846	3.741	CIB	3.05
849	3.744	CIB	3.03
659	3.744	CIB	2.98
846	3.745	CIB	2.98
849	3.748	CIB	3.01
846	3.749	CIB	2.96
849	3.752	CIB	2.97
846	3.753	CIB	3
846	3.756	CIB	3.09
659	3.756	CIB	3.07
849	3.756	CIB	3.16
846	3.759	CIB	3.28
849	3.76	CIB	3.22
659	3.76	CIB	3.23
846	3.762	CIB	3.28
849	3.764	CIB	3.2
659	3.764	CIB	3.05
846	3.765	CIB	3.15
846	3.768	CIB	3.02
849	3.768	CIB	2.98
846	3.77	CIB	3.08
659	3.772	CIB	3.08
849	3.772	CIB	3.05
846	3.774	CIB	3.08
849	3.776	CIB	2.98
659	3.778	CIB	2.92
846	3.779	CIB	2.87
849	3.78	CIB	2.78
659	3.782	CIB	2.84
846	3.783	CIB	2.92
849	3.784	CIB	2.89
846	3.786	CIB	3
659	3.788	CIB	3.06
849	3.788	CIB	3.09
846	3.79	CIB	3.08
659	3.791	CIB	3.1
849	3.792	CIB	3.14
659	3.793	CIB	3.13
846	3.794	CIB	3.06
849	3.796	CIB	3.07
846	3.799	CIB	3.03
849	3.8	CIB	3.04
846	3.803	CIB	3.03
659	3.803	CIB	3.05
849	3.804	CIB	3.04
846	3.808	CIB	3.09
849	3.808	CIB	3.04
659	3.809	CIB	3.05
846	3.811	CIB	3.08
849	3.812	CIB	3.08
659	3.813	CIB	3.09
846	3.816	CIB	3.07
849	3.816	CIB	3.05
659	3.818	CIB	3.06
846	3.82	CIB	3.06
849	3.82	CIB	3.05
659	3.822	CIB	3.1
846	3.824	CIB	3.08
849	3.824	CIB	3.04
659	3.827	CIB	3.04
846	3.828	CIB	3.05
849	3.828	CIB	3.06
659	3.829	CIB	3.06
849	3.832	CIB	3.07
846	3.833	CIB	3.11
659	3.835	CIB	3.07
849	3.836	CIB	3.05
846	3.837	CIB	3.1
